"file_path","total_events","added_count","modified_count","deleted_count","renamed_count","copied_count","type_changed_count","first_seen","last_seen","first_commit","last_commit"
"docs/src/pages/index.tsx",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"docs/src/pages/markdown-page.md",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"docs/static/.nojekyll",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"docs/static/img/docusaurus.png",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"docs/static/img/favicon.ico",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"docs/static/img/logo.svg",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"docs/static/img/undraw_add_files.svg",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"docs/static/img/undraw_blank_canvas.svg",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"docs/static/img/undraw_innovative.svg",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"docs/tsconfig.json",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"docs/yarn.lock",3,1,0,0,2,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:25:25+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"scripts/buildDocs.js",1,1,0,0,0,0,0,"2022-07-26T11:04:12+00:00","2022-07-26T11:04:12+00:00","2b049b4a65bd498fbb1f23bbc9715261a43626f2","2b049b4a65bd498fbb1f23bbc9715261a43626f2"
"dev-docs/.gitignore",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/README.md",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/babel.config.js",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/docs/codebase/overview.md",4,0,0,2,2,0,0,"2022-07-26T11:14:21+00:00","2023-02-26T19:48:47+00:00","313097233db22e85763bd64e9bd3a860ab45175b","1d5e865da1353ff4ee9883bcf421357ff833ad16"
"dev-docs/docs/get-started.md",4,0,0,2,2,0,0,"2022-07-26T11:14:21+00:00","2023-02-26T19:48:47+00:00","313097233db22e85763bd64e9bd3a860ab45175b","1d5e865da1353ff4ee9883bcf421357ff833ad16"
"dev-docs/docs/package/overview.md",4,0,0,2,2,0,0,"2022-07-26T11:14:21+00:00","2023-02-26T19:48:47+00:00","313097233db22e85763bd64e9bd3a860ab45175b","1d5e865da1353ff4ee9883bcf421357ff833ad16"
"dev-docs/docusaurus.config.js",16,0,14,0,2,0,0,"2022-07-26T11:14:21+00:00","2025-02-28T15:49:09+00:00","313097233db22e85763bd64e9bd3a860ab45175b","ecef5d12f4af4f70e240fc54fb626c16d005eee3"
"dev-docs/package.json",16,0,14,0,2,0,0,"2022-07-26T11:14:21+00:00","2025-03-11T12:02:59+00:00","313097233db22e85763bd64e9bd3a860ab45175b","69bc5bdaab1fe0064a7db085535748f7eab5f181"
"dev-docs/sidebars.js",11,0,9,0,2,0,0,"2022-07-26T11:14:21+00:00","2023-11-14T14:24:34+00:00","313097233db22e85763bd64e9bd3a860ab45175b","ddb75850573f6fef9a0786ced32ae63ab913f0e0"
"dev-docs/src/components/Homepage/index.js",4,0,2,0,2,0,0,"2022-07-26T11:14:21+00:00","2025-03-12T14:23:31+00:00","313097233db22e85763bd64e9bd3a860ab45175b","21ffaf4d76bf8554c3ba5561ab8ff41ce89b55fa"
"dev-docs/src/components/Homepage/index.tsx",3,0,1,0,2,0,0,"2022-07-26T11:14:21+00:00","2025-03-12T14:23:31+00:00","313097233db22e85763bd64e9bd3a860ab45175b","21ffaf4d76bf8554c3ba5561ab8ff41ce89b55fa"
"dev-docs/src/components/Homepage/styles.module.css",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/src/css/custom.css",4,0,0,0,4,0,0,"2022-07-26T11:14:21+00:00","2023-02-26T19:48:47+00:00","313097233db22e85763bd64e9bd3a860ab45175b","1d5e865da1353ff4ee9883bcf421357ff833ad16"
"dev-docs/src/pages/index.js",4,0,0,2,2,0,0,"2022-07-26T11:14:21+00:00","2023-02-26T19:48:47+00:00","313097233db22e85763bd64e9bd3a860ab45175b","1d5e865da1353ff4ee9883bcf421357ff833ad16"
"dev-docs/src/pages/index.module.css",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/src/pages/index.tsx",5,0,3,0,2,0,0,"2022-07-26T11:14:21+00:00","2025-03-12T14:23:31+00:00","313097233db22e85763bd64e9bd3a860ab45175b","21ffaf4d76bf8554c3ba5561ab8ff41ce89b55fa"
"dev-docs/src/pages/markdown-page.md",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/static/.nojekyll",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/static/img/docusaurus.png",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/static/img/favicon.ico",3,0,1,0,2,0,0,"2022-07-26T11:14:21+00:00","2023-09-11T15:47:41+00:00","313097233db22e85763bd64e9bd3a860ab45175b","530249037255868350dc5365b252ccddfa93e04d"
"dev-docs/static/img/logo.svg",3,0,1,0,2,0,0,"2022-07-26T11:14:21+00:00","2023-09-11T15:47:41+00:00","313097233db22e85763bd64e9bd3a860ab45175b","530249037255868350dc5365b252ccddfa93e04d"
"dev-docs/static/img/undraw_add_files.svg",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/static/img/undraw_blank_canvas.svg",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/static/img/undraw_innovative.svg",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/tsconfig.json",2,0,0,0,2,0,0,"2022-07-26T11:14:21+00:00","2022-07-26T11:25:25+00:00","313097233db22e85763bd64e9bd3a860ab45175b","966ca2ffa63e838f02d65b80e0dc94b2978382c0"
"dev-docs/yarn.lock",34,0,32,0,2,0,0,"2022-07-26T11:14:21+00:00","2025-03-11T12:02:59+00:00","313097233db22e85763bd64e9bd3a860ab45175b","69bc5bdaab1fe0064a7db085535748f7eab5f181"
"src/polyfill.ts",3,1,1,0,1,0,0,"2022-08-11T14:46:25+00:00","2023-12-12T06:02:51+00:00","5a8dbe8030b60239ef1ea1bde4d901db8dadc082","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/Footer.tsx",6,1,3,0,2,0,0,"2022-08-22T10:39:24+00:00","2023-02-26T19:48:47+00:00","ba2c86fe1bad6f2e3a7a20fde8f7f3727bc18657","1d5e865da1353ff4ee9883bcf421357ff833ad16"
".codesandbox/tasks.json",2,1,1,0,0,0,0,"2022-08-29T13:22:04+00:00","2023-07-31T21:47:41+00:00","59a1d192d268f403c3d946c52f28960a0045c357","50450a7dabc794a04e553bf461ab03d19bd1298e"
"src/packages/common.webpack.dev.config.js",2,1,0,1,0,0,0,"2022-08-30T07:07:18+00:00","2022-09-13T19:19:57+00:00","da4fa91ffc2bf9b1b74c9fec8164348273a9cad2","6a6b9c90a788b67c0208049abc67172a6637196e"
"src/packages/common.webpack.prod.config.js",2,1,0,1,0,0,0,"2022-08-30T07:07:18+00:00","2022-09-13T19:19:57+00:00","da4fa91ffc2bf9b1b74c9fec8164348273a9cad2","6a6b9c90a788b67c0208049abc67172a6637196e"
"src/tests/__snapshots__/linearElementEditor.test.tsx.snap",18,3,13,1,1,0,0,"2022-09-14T14:25:54+00:00","2023-12-12T06:02:51+00:00","0d1058a596145894b703fe3078b574f83bfbb312","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/tests/linearElementEditor.test.tsx",41,1,39,0,1,0,0,"2022-09-14T14:25:54+00:00","2023-12-12T06:02:51+00:00","0d1058a596145894b703fe3078b574f83bfbb312","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/tests/__snapshots__/export.test.tsx.snap",9,1,7,0,1,0,0,"2022-09-17T21:02:13+00:00","2023-12-12T06:02:51+00:00","3a776f8795f2a2f3fcd42b84d9b165b620210d7f","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/tests/fixtures/deer.png",2,1,0,0,1,0,0,"2022-09-17T21:02:13+00:00","2023-12-12T06:02:51+00:00","3a776f8795f2a2f3fcd42b84d9b165b620210d7f","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/tests/fixtures/svg-image-exporting-reference.svg",2,1,0,0,1,0,0,"2022-09-17T21:02:13+00:00","2023-12-12T06:02:51+00:00","3a776f8795f2a2f3fcd42b84d9b165b620210d7f","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/tests/utils.ts",4,1,2,1,0,0,0,"2022-09-27T11:14:41+00:00","2023-10-12T18:59:02+00:00","b477c2ad6bacd13e4251f10acfa5eb6a5117dc94","89a3bbddb72fba6a3ceae91541afd4d9d6a702b0"
"src/actions/actionLinearEditor.ts",7,1,5,0,1,0,0,"2022-09-27T11:24:50+00:00","2023-12-12T06:02:51+00:00","6c1246ef77433fcd178be380b451c5b904aece00","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/Sidebar/Sidebar.scss",8,1,6,0,1,0,0,"2022-10-17T10:25:24+00:00","2023-12-12T06:02:51+00:00","e9067de173712a295d1c2e8c8f6940dd1029dbc2","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/Sidebar/Sidebar.test.tsx",7,1,5,0,1,0,0,"2022-10-17T10:25:24+00:00","2023-12-12T06:02:51+00:00","e9067de173712a295d1c2e8c8f6940dd1029dbc2","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/Sidebar/Sidebar.tsx",11,1,9,0,1,0,0,"2022-10-17T10:25:24+00:00","2023-12-12T06:02:51+00:00","e9067de173712a295d1c2e8c8f6940dd1029dbc2","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/Sidebar/SidebarHeader.tsx",5,1,3,0,1,0,0,"2022-10-17T10:25:24+00:00","2023-12-12T06:02:51+00:00","e9067de173712a295d1c2e8c8f6940dd1029dbc2","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/Sidebar/common.ts",4,1,2,0,1,0,0,"2022-10-17T10:25:24+00:00","2023-12-12T06:02:51+00:00","e9067de173712a295d1c2e8c8f6940dd1029dbc2","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/hoc/withUpstreamOverride.tsx",2,1,0,1,0,0,0,"2022-10-17T10:25:24+00:00","2023-05-04T17:33:31+00:00","e9067de173712a295d1c2e8c8f6940dd1029dbc2","e9cae918a7c83c577afb5f6385f6aba9d3544670"
"src/packages/excalidraw/example/sidebar/ExampleSidebar.scss",2,0,0,0,2,0,0,"2022-10-17T10:25:24+00:00","2023-12-12T06:02:51+00:00","e9067de173712a295d1c2e8c8f6940dd1029dbc2","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/packages/excalidraw/example/sidebar/ExampleSidebar.tsx",6,0,4,0,2,0,0,"2022-10-17T10:25:24+00:00","2023-12-12T06:02:51+00:00","e9067de173712a295d1c2e8c8f6940dd1029dbc2","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/LibraryMenuHeaderContent.tsx",16,1,14,0,1,0,0,"2022-10-18T04:59:14+00:00","2023-12-12T06:02:51+00:00","941b2d70422f40427ffd39c58cae9742e118ab8b","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/locales/ku-TR.json",17,1,15,0,1,0,0,"2022-10-25T10:56:55+00:00","2023-12-12T06:02:51+00:00","4cd25253bf21adb0920a0694466e84dd39bb79bf","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"public/Assistant-Bold.woff2",2,1,0,0,1,0,0,"2022-11-01T16:29:58+00:00","2024-01-01T14:48:44+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","a8064ba3eef10fa50bf5d9f402b779d54558ae76"
"public/Assistant-Medium.woff2",2,1,0,0,1,0,0,"2022-11-01T16:29:58+00:00","2024-01-01T14:48:44+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","a8064ba3eef10fa50bf5d9f402b779d54558ae76"
"public/Assistant-Regular.woff2",4,2,0,1,1,0,0,"2022-11-01T16:29:58+00:00","2024-01-11T21:21:33+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","9723c3bbabcd3f0915c29c7fb73d53be49c2da22"
"public/Assistant-SemiBold.woff2",2,1,0,0,1,0,0,"2022-11-01T16:29:58+00:00","2024-01-01T14:48:44+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","a8064ba3eef10fa50bf5d9f402b779d54558ae76"
"public/og-fb-v1.png",2,1,0,1,0,0,0,"2022-11-01T16:29:58+00:00","2023-09-11T15:47:41+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","530249037255868350dc5365b252ccddfa93e04d"
"public/og-general-v1.png",2,1,0,1,0,0,0,"2022-11-01T16:29:58+00:00","2023-09-11T15:47:41+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","530249037255868350dc5365b252ccddfa93e04d"
"public/og-twitter-v1.png",2,1,0,1,0,0,0,"2022-11-01T16:29:58+00:00","2023-09-11T15:47:41+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","530249037255868350dc5365b252ccddfa93e04d"
"src/components/Actions.scss",4,1,2,0,1,0,0,"2022-11-01T16:29:58+00:00","2023-12-12T06:02:51+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/DialogActionButton.scss",2,1,0,0,1,0,0,"2022-11-01T16:29:58+00:00","2023-12-12T06:02:51+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/DialogActionButton.tsx",2,1,0,0,1,0,0,"2022-11-01T16:29:58+00:00","2023-12-12T06:02:51+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/EncryptedIcon.tsx",3,1,0,1,1,0,0,"2022-11-01T16:29:58+00:00","2023-02-26T19:48:47+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","1d5e865da1353ff4ee9883bcf421357ff833ad16"
"src/components/HelpButton.tsx",3,0,1,0,2,0,0,"2022-11-01T16:29:58+00:00","2023-12-12T06:02:51+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/LibraryButton.scss",2,1,0,1,0,0,0,"2022-11-01T16:29:58+00:00","2023-05-04T17:33:31+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","e9cae918a7c83c577afb5f6385f6aba9d3544670"
"src/components/LibraryMenuBrowseButton.tsx",6,1,4,0,1,0,0,"2022-11-01T16:29:58+00:00","2023-12-12T06:02:51+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","d6cd8b78f11742e9107dd4cd9cee564120ae599b"
"src/components/Menu.scss",3,1,0,2,0,0,0,"2022-11-01T16:29:58+00:00","2023-02-26T19:48:47+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","1d5e865da1353ff4ee9883bcf421357ff833ad16"
"src/components/MenuItem.tsx",3,1,0,2,0,0,0,"2022-11-01T16:29:58+00:00","2023-02-26T19:48:47+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","1d5e865da1353ff4ee9883bcf421357ff833ad16"
"src/components/MenuUtils.tsx",3,1,0,2,0,0,0,"2022-11-01T16:29:58+00:00","2023-02-26T19:48:47+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","1d5e865da1353ff4ee9883bcf421357ff833ad16"
"src/components/WelcomeScreen.scss",3,1,0,0,2,0,0,"2022-11-01T16:29:58+00:00","2023-02-26T19:48:47+00:00","6334bd832fc4db3b5e5ad79ef785f9ed565a1d1e","1d5e865da1353ff4ee9883bcf421357ff833ad16"
